source,customer,suggested
Vinyl siding,Fryman's Recycling #1,Clean PVC Siding
Vinyl Siding,Fryman's Recycling #1,Clean PVC Siding

Cardboard from Bolts,Werner & Son,Cardboard (Unbaled)
Brock Warehouse Wood Box / Insulation,Werner & Son,Scrap Pallets
Cardboard from Value Merch,Werner & Son,Cardboard (Baled)
Cardboard from the Yard,Werner & Son,Cardboard (Unbaled)
