customer,invoice_id,invoice_number,invoice_date,service_date,product_service,qbo_item,description,ship_date,ship_via,item,item_original,qty,uom,unit_price,line_amount,invoice_total,invoice_balance,pdf_path
Rochester Iron & Metal,6276,2618,2023-09-07,2023-09-07,Ferrous Sale,Ferrous Sale,Drums and Rotors,,,Drums & Rotors,Drums and Rotors,45440,,0.15625,7100.0,7100.0,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-6276.pdf
Rochester Iron & Metal,6369,2642,2023-09-21,2023-09-21,Non-Ferrous Sale,Non-Ferrous Sale,Old Sheet,,,Old Sheet,Old Sheet,6950,,0.49,3405.5,3405.5,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-6369.pdf
Rochester Iron & Metal,6375,2645,2023-09-22,2023-09-22,Ferrous Sale,Ferrous Sale,HMS,,,HMS,HMS,42400,,0.1227679,5205.36,5205.36,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-6375.pdf
Rochester Iron & Metal,6382,2649,2023-09-25,2023-09-25,Ferrous Sale,Ferrous Sale,HMS,,,HMS,HMS,40920,,0.1227678,5023.66,5023.66,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-6382.pdf
Rochester Iron & Metal,6498,2686,2023-10-06,2023-10-06,Ferrous Sale,Ferrous Sale,Mixed Clips,,,Clips,Mixed Clips,29080,,0.095,2762.6,2762.6,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-6498.pdf
Rochester Iron & Metal,6542,2694,2023-10-13,2023-10-13,Ferrous Sale,Ferrous Sale,Busheling,,,Busheling,Busheling,14620,,0.1517859,2219.11,2219.11,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-6542.pdf
Rochester Iron & Metal,6569,2707,2023-10-17,2023-10-17,Ferrous Sale,Ferrous Sale,Mixed Clips,,,Clips,Mixed Clips,27760,,0.1450893,4027.68,4027.68,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-6569.pdf
Rochester Iron & Metal,6654,2729,2023-10-27,2023-10-27,Ferrous Sale,Ferrous Sale,Mixed Clips,,,Clips,Mixed Clips,34060,,0.1473406,5018.42,5018.42,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-6654.pdf
Rochester Iron & Metal,6742,2761,2023-11-06,2023-11-06,Ferrous Sale,Ferrous Sale,Low Grade Sheet Iron,,,Shred,Low Grade Sheet Iron,38380,,0.0267858,1028.04,1028.04,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-6742.pdf
Rochester Iron & Metal,6761,2763,2023-11-07,2023-11-07,Non-Ferrous Sale,Non-Ferrous Sale,Old Sheet Aluminum,,,Old Sheet Aluminum,Old Sheet Aluminum,8980,,0.5,4490.0,4490.0,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-6761.pdf
Rochester Iron & Metal,6849,2783,2023-11-13,2023-11-13,Ferrous Sale,Ferrous Sale,Mixed Clips,,,Clips,Mixed Clips,35640,,0.158482,5648.3,5648.3,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-6849.pdf
Rochester Iron & Metal,6987,2808,2023-11-27,2023-11-22,Ferrous Sale,Ferrous Sale,Pipe from solar farm,,,Unprepared HMS (Pipe),Pipe from solar farm,39940,,0.1584822,6329.78,6329.78,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-6987.pdf
Rochester Iron & Metal,6986,2807,2023-11-27,2023-11-21,Ferrous Sale,Ferrous Sale,Pipe from solar farm,2023-11-21,,Unprepared HMS (Pipe),Pipe from solar farm,43620,,0.1584821,6912.99,6912.99,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-6986.pdf
Rochester Iron & Metal,6992,2812,2023-11-28,2023-11-28,Ferrous Sale,Ferrous Sale,Pipe from solar farm,,,Unprepared HMS (Pipe),Pipe from solar farm,33960,,0.1879284,6382.05,6382.05,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-6992.pdf
Rochester Iron & Metal,7011,2818,2023-11-30,2023-11-30,Ferrous Sale,Ferrous Sale,Pipe from solar farm,,,Unprepared HMS (Pipe),Pipe from solar farm,36080,,0.1584823,5718.04,5718.04,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7011.pdf
Rochester Iron & Metal,7006,2816,2023-11-30,2023-11-29,Ferrous Sale,Ferrous Sale,Pipe from solar farm project,,,Unprepared HMS (Pipe),Pipe from solar farm project,37880,,0.158482,6003.3,6003.3,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7006.pdf
Rochester Iron & Metal,7037,2829,2023-12-01,2023-12-01,Ferrous Sale,Ferrous Sale,Pipe from solar farm,,,Unprepared HMS (Pipe),Pipe from solar farm,33060,,0.185268,6124.96,6124.96,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7037.pdf
Rochester Iron & Metal,7074,2837,2023-12-04,2023-12-04,Ferrous Sale,Ferrous Sale,Pipe from solar farm,,,Unprepared HMS (Pipe),Pipe from solar farm,22100,,0.1175,2596.75,2596.75,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7074.pdf
Rochester Iron & Metal,7079,2840,2023-12-05,2023-12-05,Ferrous Sale,Ferrous Sale,Pipe from solar farm,,,Unprepared HMS (Pipe),Pipe from solar farm,49180,,0.1852678,9111.47,9111.47,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7079.pdf
Rochester Iron & Metal,7101,2848,2023-12-08,2023-12-08,Ferrous Sale,Ferrous Sale,Mixed Clips,,,Clips,Mixed Clips,42620,,0.1594763,6796.88,6796.88,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7101.pdf
Rochester Iron & Metal,7143,2857,2023-12-12,2023-12-12,Ferrous Sale,Ferrous Sale,Mixed Clips,,,Clips,Mixed Clips,31960,,0.1941965,6206.52,6206.52,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7143.pdf
Rochester Iron & Metal,7263,2860,2023-12-13,2023-12-13,Ferrous Sale,Ferrous Sale,Mixed Clips,,,Clips,Mixed Clips,38520,,0.1941965,7480.45,7480.45,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7263.pdf
Rochester Iron & Metal,7271,2862,2023-12-14,2023-12-14,Ferrous Sale,Ferrous Sale,Mixed Clips,,,Clips,Mixed Clips,36420,,0.1941963,7072.63,7072.63,0,qbo_out\qbo_pdfs\Rochester_Iron_&_Metal\INV-7271.pdf
