"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"08/16/2024","Payment","100238","Newco Metals, Inc","","$0.00","$4,078.57","","Aug 16, 2024, 11:13 AM",
"08/05/2024","Payment","5810","Newco Metals, Inc","","$0.00","$9,310.29","","Aug 5, 2024, 10:49 AM",
"08/05/2024","Payment","100177","Newco Metals, Inc","","$0.00","$7,577.40","","Aug 5, 2024, 10:49 AM",
"07/08/2024","Invoice","3374","Newco Metals, Inc","08/07/2024","$0.00","$4,078.57","","Aug 16, 2024, 11:05 AM",
"06/28/2024","Invoice","3356","Newco Metals, Inc","07/28/2024","$0.00","$7,577.40","","Aug 5, 2024, 10:41 AM",
"06/26/2024","Invoice","3347","Newco Metals, Inc","07/26/2024","$0.00","$9,310.29","","Aug 5, 2024, 10:45 AM",
"06/20/2024","Payment","99906","Newco Metals, Inc","","$0.00","$4,258.58","","Jun 20, 2024, 10:36 AM",
"05/28/2024","Payment","99776","Newco Metals, Inc","","$0.00","$6,643.20","","May 28, 2024, 10:12 AM",
"05/09/2024","Invoice","3212","Newco Metals, Inc","06/08/2024","$0.00","$4,258.58","","Jun 20, 2024, 10:36 AM",
"04/25/2024","Invoice","3172","Newco Metals, Inc","05/25/2024","$0.00","$6,643.20","","May 28, 2024, 10:12 AM",
"04/08/2024","Payment","99494","Newco Metals, Inc","","$0.00","$3,775.64","","Apr 8, 2024, 10:33 AM",
"04/08/2024","Payment","99494","Newco Metals, Inc","","$0.00","$3,278.56","","Apr 8, 2024, 10:32 AM",
"03/05/2024","Invoice","3036","Newco Metals, Inc","04/04/2024","$0.00","$3,775.64","","Jun 26, 2024, 8:56 AM",
"03/01/2024","Invoice","3023","Newco Metals, Inc","03/31/2024","$0.00","$3,278.56","","Apr 8, 2024, 10:32 AM",
"10/16/2023","Payment","98563","Newco Metals, Inc","","$0.00","$3,481.92","","Oct 16, 2023, 10:10 AM",
"09/22/2023","Invoice","2646","Newco Metals, Inc","10/22/2023","$0.00","$3,481.92","","Oct 16, 2023, 10:10 AM",
"08/12/2023","Payment","98190","Newco Metals, Inc","","$0.00","$1,486.17","","Aug 12, 2023, 9:41 AM",
"07/12/2023","Invoice","2461","Newco Metals, Inc","08/11/2023","$0.00","$1,486.17","","Aug 12, 2023, 9:42 AM",
"06/22/2023","Payment","97878","Newco Metals, Inc","","$0.00","$1,975.56","","Jun 22, 2023, 10:24 AM",
"05/22/2023","Invoice","2321","Newco Metals, Inc","06/21/2023","$0.00","$1,975.56","","Jun 22, 2023, 10:24 AM",
"04/17/2023","Payment","97484","Newco Metals, Inc","","$0.00","$7,409.52","","Apr 17, 2023, 10:46 AM",
"03/20/2023","Invoice","2148","Newco Metals, Inc","04/19/2023","$0.00","$7,409.52","","Apr 17, 2023, 10:46 AM",
"02/21/2023","Payment","97143","Newco Metals, Inc","","$0.00","$2,074.00","","Feb 21, 2023, 10:15 AM",
"01/19/2023","Invoice","2013","Newco Metals, Inc","02/18/2023","$0.00","$2,074.00","","Feb 21, 2023, 10:15 AM",
"12/05/2022","Payment","96756","Newco Metals, Inc","","$0.00","$5,490.72","","Dec 5, 2022, 9:50 AM",
"11/11/2022","Invoice","1890","Newco Metals, Inc","12/11/2022","$0.00","$5,490.72","","Dec 5, 2022, 9:50 AM",
