Yard Name,Commodity Name,Commodity Type,Material Name,Material Code,Status,Effective Date,Gross Weight,Net Weight,Tare,Cost,Customer Name,Outbound Ticket Id,Employee Name,Sales Order,Currency,Account Manager,Driver,Carrier Name,Trailer #,Export?,Freight Cost,Created Date,Last Updated,Custom Sequence,Sequence,Notes,bridge_contract_id,bol_id,origin_country,destination_country,port_code,hs_code,duty_usd,tax_pct,price_per_ton,price_per_lb,dedupe_key,created_at_utc,updated_at_utc
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,INCOMPLETE,2025-09-08T09:16:40.155Z[UTC],70040,28840,41200,0.0,Lewis Salvage Corp.,202,Michelle Bright,,USD,Jim Byers,Kyle,,,False,0.0,2025-09-08T09:17:41.484677Z[UTC],2025-09-08T14:39:56.989101Z[UTC],,,,,,,,,,,,0.0,0.0,5906f453a090ddff1cf4b3981cd2cb095f3e7bd0ff4bf89fe415ae2070dd5207,2025-09-08T09:17:41.484677Z,2025-09-08T14:39:56.989101Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-09-08T09:07:12.815Z[UTC],79520,38140,41380,3034.362,Lewis Salvage Corp.,201,Michelle Bright,,USD,Jim Byers,Kyle,,,False,0.0,2025-09-08T09:08:40.844166Z[UTC],2025-09-08T09:09:00.427041Z[UTC],,,,,,,,,,,,159.11704247509175,0.07955852123754588,dce276ca6b220612e0e09d74d296c1fa2c390169aa09c0bebd8c33387d053b0d,2025-09-08T09:08:40.844166Z,2025-09-08T09:09:00.427041Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-09-03T08:22:00.984Z[UTC],73420,31960,41460,2559.8468,Lewis Salvage Corp.,200,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-09-03T08:22:41.688321Z[UTC],2025-09-03T08:22:41.688321Z[UTC],,,,,,,,,,,,160.19066332916142,0.08009533166458072,749b98a8c9541968f7dacd22400194171eb2955a4870b824aca7a351b0cfde74,2025-09-03T08:22:41.688321Z,2025-09-03T08:22:41.688321Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-09-02T08:24:51.701Z[UTC],70040,25820,44220,2061.2693,Lewis Salvage Corp.,199,Michelle Bright,,USD,Jim Byers,RIM,,,False,0.0,2025-09-02T08:26:29.380855Z[UTC],2025-09-03T08:21:57.428073Z[UTC],,,,,,,,,,,,159.66454686289697,0.07983227343144848,21c2ef8f0b374427d8505377082e7c41b079c118a907be242d58b91d2c8076eb,2025-09-02T08:26:29.380855Z,2025-09-03T08:21:57.428073Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-29T09:38:56.317Z[UTC],74000,32600,41400,2599.3249,Lewis Salvage Corp.,198,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-29T09:39:17.387586Z[UTC],2025-08-29T11:18:42.790401Z[UTC],,,,,,,,,,,,159.46778527607364,0.07973389263803682,a5279d61a0ea7fb2134a209a2d2d2638756d02b10d8b7483a01662da83a29d1e,2025-08-29T09:39:17.387586Z,2025-08-29T11:18:42.790401Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-28T09:09:28.652Z[UTC],77380,42440,34940,3385.36,Mervis,197,Michelle Bright,,USD,,Ireland Trucking ,,,False,0.0,2025-08-28T09:10:31.946004Z[UTC],2025-08-28T10:32:59.889325Z[UTC],,,,,,,,,,,,159.53628652214894,0.07976814326107447,ad15d63d1dd06c2d0a77fbec336675c8f4eac062360f91187a3a9af9d7b85eca,2025-08-28T09:10:31.946004Z,2025-08-28T10:32:59.889325Z
Winski Brothers,FERROUS,FERROUS,5' P&S,5PS,SHIPPED,2025-08-28T08:33:16.994Z[UTC],78340,41640,36700,-12371.8742,DJJ/Nucor,196,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-28T08:33:48.927036Z[UTC],2025-08-28T09:59:14.882277Z[UTC],,,,,,,,,,,,-594.2302689721422,-0.2971151344860711,ad088a91f8ae5685b546e4d495c2a7ddf44ee1bf89ff082a28d90c3187c85c3f,2025-08-28T08:33:48.927036Z,2025-08-28T09:59:14.882277Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-28T08:08:49.145Z[UTC],71960,30580,41380,2439.8918,Lewis Salvage Corp.,195,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-28T08:09:40.252807Z[UTC],2025-08-28T09:36:58.661649Z[UTC],,,,,,,,,,,,159.5743492478744,0.07978717462393721,8b907a28fcfdbf95e5cd8975665ebc8da09eacc4f2f557c712e3982880e40a60,2025-08-28T08:09:40.252807Z,2025-08-28T09:36:58.661649Z
Winski Brothers,FERROUS,FERROUS,SHRED,SHRED,SHIPPED,2025-08-26T14:35:39Z[UTC],0,-30000,30000,-2375.4675,Lewis Salvage Corp.,192,Michelle Bright,,USD,Jim Byers,Tinsman,,,False,0.0,2025-08-25T14:36:14.46154Z[UTC],2025-08-26T11:26:39.095346Z[UTC],,,To be weighed by Lewis Salvage/ Scale Down,,,,,,,,,158.36450000000002,0.07918225000000001,c1a03dbdc4ea019ad1ae1b125b50500af53348d44c1e8dcff7223ceefbc1a1d6,2025-08-25T14:36:14.461540Z,2025-08-26T11:26:39.095346Z
Winski Brothers,ALUMINUM,NON_FERROUS,Old sheet Aluminum,Old sheet Aluminum,SHIPPED,2025-08-26T11:57:05.423Z[UTC],0,-20000,20000,-8462.1942,"Newco Metals, Inc",194,Michelle Bright,,USD,,Newco,,,False,0.0,2025-08-26T11:58:03.58904Z[UTC],2025-08-26T11:58:52.211927Z[UTC],,,To be weighed at Newco/ Scale down,,,,,,,,,846.2194199999999,0.42310970999999997,fdf4b4fc37f9b3007d983497321dc2f6ba39e6bbc06522bb9a0f158f75e522e1,2025-08-26T11:58:03.589040Z,2025-08-26T11:58:52.211927Z
