vendor,material_vendor,material_canonical
C&Y Global, Inc. / Pro Metal Recycling,Aluminum BX Wire,ICW #2 BX (Al)
C&Y Global, Inc. / Pro Metal Recycling,Al BX wire,ICW #2 BX (Al)
C&Y Global, Inc. / Pro Metal Recycling,Fe BX wire,ICW #2 BX (Fe, 24%)
C&Y Global, Inc. / Pro Metal Recycling,ICW Low Grade Christmas Lights,ICW Low Grade (Christmas Lights)
C&Y Global, Inc. / Pro Metal Recycling,Xmas lights,ICW Low Grade (Christmas Lights)
C&Y Global, Inc. / Pro Metal Recycling,Xmas lts,ICW Low Grade (Christmas Lights)
C&Y Global, Inc. / Pro Metal Recycling,X-mas/harness wire mixed,ICW Low Grade (Mixed Wire 40%+)
C&Y Global, Inc. / Pro Metal Recycling,Jelly wire,Insulated Copper Wire Scrap (Droid)
C&Y Global, Inc. / Pro Metal Recycling,A/C rads,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,AC rads,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,AC Rads,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,Clean A/C rads,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,A/C Rad - C,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,A/C Rads - C,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,AC Rads / Clean,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,Al/Cu rads clean,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,Al/Cu Rad (clean),Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,loose clean A/C rads,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,NON FE:Alum/Cu Radiators,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,Al/Cu Rads Clean,Al/Cu Radiators (Clean)
C&Y Global, Inc. / Pro Metal Recycling,Al/Cu Rad (dirty),Al/Cu Radiators (Dirty)
C&Y Global, Inc. / Pro Metal Recycling,A/C rads  Dirty,Al/Cu Radiators (Dirty)
C&Y Global, Inc. / Pro Metal Recycling,Dirty A/C rads,Al/Cu Radiators (Dirty)
C&Y Global, Inc. / Pro Metal Recycling,A/C Rad - D,Al/Cu Radiators (Dirty)
C&Y Global, Inc. / Pro Metal Recycling,A/C Rads - D,Al/Cu Radiators (Dirty)
C&Y Global, Inc. / Pro Metal Recycling,Loose dirty A/C rads,Al/Cu Radiators (Dirty)
C&Y Global, Inc. / Pro Metal Recycling,Al/Cu rads dirty,Al/Cu Radiators (Dirty)
C&Y Global, Inc. / Pro Metal Recycling,Al/Cu Rads dirty,Al/Cu Radiators (Dirty)
C&Y Global, Inc. / Pro Metal Recycling,A/C rad ends,Radiator Ends (Cu Breakage)
C&Y Global, Inc. / Pro Metal Recycling,Rad ends,Radiator Ends (Cu Breakage)
C&Y Global, Inc. / Pro Metal Recycling,radiator ends,Radiator Ends (Cu Breakage)
C&Y Global, Inc. / Pro Metal Recycling,Brass rads from #2 copper box,Copper/Brass Radiators
C&Y Global, Inc. / Pro Metal Recycling,Cu Brass rads,Copper/Brass Radiators
C&Y Global, Inc. / Pro Metal Recycling,Brass Cu Rads,Copper/Brass Radiators
C&Y Global, Inc. / Pro Metal Recycling,Brass copper rads,Copper/Brass Radiators
C&Y Global, Inc. / Pro Metal Recycling,Dirty brass rads,Copper/Brass Radiators (Dirty)
C&Y Global, Inc. / Pro Metal Recycling,Al car wheels,Al Car Wheels
C&Y Global, Inc. / Pro Metal Recycling,Al Car wheels,Al Car Wheels
C&Y Global, Inc. / Pro Metal Recycling,Car wheels,Al Car Wheels
C&Y Global, Inc. / Pro Metal Recycling,Auto wheels,Al Car Wheels
C&Y Global, Inc. / Pro Metal Recycling,Wheels,Al Car Wheels
C&Y Global, Inc. / Pro Metal Recycling,Dirty car wheels,Al Car Wheels (Dirty)
C&Y Global, Inc. / Pro Metal Recycling,Dirty wheels,Al Car Wheels (Dirty)
C&Y Global, Inc. / Pro Metal Recycling,Car wheels - chrome,Al Car Wheels (Chrome)
C&Y Global, Inc. / Pro Metal Recycling,Al truck wheels,Al Truck Wheels
C&Y Global, Inc. / Pro Metal Recycling,Truck wheels,Al Truck Wheels
C&Y Global, Inc. / Pro Metal Recycling,Truck rims,Al Truck Wheels
C&Y Global, Inc. / Pro Metal Recycling,dirty truck wheels,Al Truck Wheels (Dirty)
C&Y Global, Inc. / Pro Metal Recycling,bare ext,Al Extrusion (Bare)
C&Y Global, Inc. / Pro Metal Recycling,Bare Ext,Al Extrusion (Bare)
C&Y Global, Inc. / Pro Metal Recycling,Bare extrusion,Al Extrusion (Bare)
C&Y Global, Inc. / Pro Metal Recycling,New Bare Ext,Al Extrusion (Bare)
C&Y Global, Inc. / Pro Metal Recycling,Al Ext,Al Extrusion (Bare)
C&Y Global, Inc. / Pro Metal Recycling,Aluminum extrusion,Al Extrusion (Bare)
C&Y Global, Inc. / Pro Metal Recycling,Ptd ext,Painted Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,Ptd Ext,Painted Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,Painted Ext.,Painted Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,Painted Ext,Painted Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,Painted extrusion,Painted Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,Ptd ect,Painted Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,Al Ext Ptd,Painted Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,Ptd extrusion,Painted Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,Thermo Ex,Thermal Break Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,Thermal Ext,Thermal Break Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,Thermal ext,Thermal Break Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,Thermo brk,Thermal Break Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,Thermo Break,Thermal Break Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,Thermal break,Thermal Break Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,Thermal break ext,Thermal Break Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,Thermal break aluminum,Thermal Break Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,NON FE:Thermal extrusions,Thermal Break Aluminum Extrusion
C&Y Global, Inc. / Pro Metal Recycling,AL 6061,Al 6061 Solids
C&Y Global, Inc. / Pro Metal Recycling,Al 6061,Al 6061 Solids
C&Y Global, Inc. / Pro Metal Recycling,6061 solids,Al 6061 Solids
C&Y Global, Inc. / Pro Metal Recycling,6063 Ext,Al Extrusion 6063 (Old)
C&Y Global, Inc. / Pro Metal Recycling,NP 6063,Al Extrusion 6063 (New Production)
C&Y Global, Inc. / Pro Metal Recycling,NP6063,Al Extrusion 6063 (New Production)
C&Y Global, Inc. / Pro Metal Recycling,NP 6061,Al 6061 Solids
C&Y Global, Inc. / Pro Metal Recycling,10/10 ext,Al Extrusion 6063 10/10
C&Y Global, Inc. / Pro Metal Recycling,10/10 Ext - 2 boxes,Al Extrusion 6063 10/10
C&Y Global, Inc. / Pro Metal Recycling,10/10,Al Extrusion 6063 10/10
C&Y Global, Inc. / Pro Metal Recycling,10/10 extrusion,Al Extrusion 6063 10/10
C&Y Global, Inc. / Pro Metal Recycling,new anodized extrusion,Al Extrusion (Painted/Anodized)
C&Y Global, Inc. / Pro Metal Recycling,MLC,MLC (Mixed Low Copper) Prepared
C&Y Global, Inc. / Pro Metal Recycling,MLC (pallet),MLC (Mixed Low Copper) Prepared
C&Y Global, Inc. / Pro Metal Recycling,Al cast,Al Cast (Clean)
C&Y Global, Inc. / Pro Metal Recycling,Al Cast,Al Cast (Clean)
C&Y Global, Inc. / Pro Metal Recycling,Cast Alum,Al Cast (Clean)
C&Y Global, Inc. / Pro Metal Recycling,Al bkg,Al Breakage
C&Y Global, Inc. / Pro Metal Recycling,Alum bkg,Al Breakage
C&Y Global, Inc. / Pro Metal Recycling,Al Bkg,Al Breakage
C&Y Global, Inc. / Pro Metal Recycling,Alum Bkg,Al Breakage
C&Y Global, Inc. / Pro Metal Recycling,Alum bkg`,Al Breakage
C&Y Global, Inc. / Pro Metal Recycling,Al Boring,Aluminum Turnings / Borings
C&Y Global, Inc. / Pro Metal Recycling,Al turnings,Aluminum Turnings
C&Y Global, Inc. / Pro Metal Recycling,Al Turnings,Aluminum Turnings
C&Y Global, Inc. / Pro Metal Recycling,Al turnings w/ Fe,Aluminum Turnings (With Fe)
C&Y Global, Inc. / Pro Metal Recycling,Al turnings in barrel,Aluminum Turnings
C&Y Global, Inc. / Pro Metal Recycling,SS,Stainless
C&Y Global, Inc. / Pro Metal Recycling,Stainless,Stainless
C&Y Global, Inc. / Pro Metal Recycling,304 SS,Stainless 304 (Prepared)
C&Y Global, Inc. / Pro Metal Recycling,304 Stainless,Stainless 304 (Prepared)
C&Y Global, Inc. / Pro Metal Recycling,Stainless 304,Stainless 304 (Prepared)
C&Y Global, Inc. / Pro Metal Recycling,Stainless bkg,Stainless Breakage
C&Y Global, Inc. / Pro Metal Recycling,Stainless solids,Stainless Solids
C&Y Global, Inc. / Pro Metal Recycling,Stainless turnings,Stainless Steel Turnings
C&Y Global, Inc. / Pro Metal Recycling,SS turnings,Stainless Steel Turnings
C&Y Global, Inc. / Pro Metal Recycling,SS Turnings,Stainless Steel Turnings
C&Y Global, Inc. / Pro Metal Recycling,SS sheets - B,Stainless Sheet Scrap
C&Y Global, Inc. / Pro Metal Recycling,316 SS,Stainless 316 (Clean, Prepared)
C&Y Global, Inc. / Pro Metal Recycling,316/312 SS,Stainless (316/312 Mixed)
C&Y Global, Inc. / Pro Metal Recycling,SST,Stainless
C&Y Global, Inc. / Pro Metal Recycling,SST 316 turnings,Stainless Steel Turnings
"Newco Metals, Inc",316 Stainless Steel Turnings,316 Stainless Steel Turnings
"Newco Metals, Inc",304 Stainless Steel Turnings,304 Stainless Steel Turnings
"Newco Metals, Inc",304 Stainless Steel,Stainless 304
"Newco Metals, Inc",Stainless Steel,Stainless
"Newco Metals, Inc",Stainless Steel Dumpster,Stainless (Mixed)
"Newco Metals, Inc",Stainless Steel Bkg,Stainless Breakage
"Newco Metals, Inc",Mixed Stainless,Mixed Stainless
"Newco Metals, Inc",SS Boring,Stainless Steel Turnings
"Newco Metals, Inc",304 SST w/ Fe,304 Stainless Steel w/ Fe
C&Y Global, Inc. / Pro Metal Recycling,Brass shell,Brass Shells (Clean, No Chrome)
C&Y Global, Inc. / Pro Metal Recycling,Brass shells,Brass Shells (Clean, No Chrome)
C&Y Global, Inc. / Pro Metal Recycling,Range lead and brass shells,YELLOW BRASS (RANGE LEAD(CLEAN))
C&Y Global, Inc. / Pro Metal Recycling,Range lead,Range Lead (Indoor)
C&Y Global, Inc. / Pro Metal Recycling,Range lead - indoor,Range Lead (Indoor)
C&Y Global, Inc. / Pro Metal Recycling,lead shot,Range Lead (Indoor)
C&Y Global, Inc. / Pro Metal Recycling,Lead,Scrap Lead — Soft (Racks)
C&Y Global, Inc. / Pro Metal Recycling,Lead sheet,Scrap Lead — Soft (Racks)
C&Y Global, Inc. / Pro Metal Recycling,Wheel weights,Lead Wheel Weights
C&Y Global, Inc. / Pro Metal Recycling,wheel wts,Lead Wheel Weights
C&Y Global, Inc. / Pro Metal Recycling,Yellow Brass,Yellow Brass (Solid, Clean)
C&Y Global, Inc. / Pro Metal Recycling,Brass Yellow,Yellow Brass (Solid, Clean)
C&Y Global, Inc. / Pro Metal Recycling,Yellow brass turnings,Yellow Brass Turnings
C&Y Global, Inc. / Pro Metal Recycling,Brass bkg,Brass Breakage
C&Y Global, Inc. / Pro Metal Recycling,Brass BKG,Brass Breakage
C&Y Global, Inc. / Pro Metal Recycling,brass water meters,BRASS BKG
C&Y Global, Inc. / Pro Metal Recycling,Faucets,Yellow Brass (Plumbing)
C&Y Global, Inc. / Pro Metal Recycling,Auto batteries,Lead-Acid Batteries (Auto)
C&Y Global, Inc. / Pro Metal Recycling,Auto battery,Lead-Acid Batteries (Auto)
C&Y Global, Inc. / Pro Metal Recycling,Auto Batts,Lead-Acid Batteries (Auto)
C&Y Global, Inc. / Pro Metal Recycling,Auto Batteries,Lead-Acid Batteries (Auto)
C&Y Global, Inc. / Pro Metal Recycling,Batteries,Lead-Acid Batteries (Auto)
C&Y Global, Inc. / Pro Metal Recycling,steel case batteries,Lead-Acid Batteries (Steel Case, Industrial)
C&Y Global, Inc. / Pro Metal Recycling,Steelcase battery,Lead-Acid Batteries (Steel Case, Industrial)
C&Y Global, Inc. / Pro Metal Recycling,Elec motors,Mixed Electric Motors (Elmo)
C&Y Global, Inc. / Pro Metal Recycling,Elec. Motors,Mixed Electric Motors (Elmo)
C&Y Global, Inc. / Pro Metal Recycling,E Motors,Mixed Electric Motors (Elmo)
C&Y Global, Inc. / Pro Metal Recycling,E-motors in box,Mixed Electric Motors (Elmo)
C&Y Global, Inc. / Pro Metal Recycling,E-motors on skid,Mixed Electric Motors (Elmo)
C&Y Global, Inc. / Pro Metal Recycling,Electric motors,Mixed Electric Motors (Elmo)
C&Y Global, Inc. / Pro Metal Recycling,elec motors,Mixed Electric Motors (Elmo)
C&Y Global, Inc. / Pro Metal Recycling,elec motor,Mixed Electric Motors (Elmo)
C&Y Global, Inc. / Pro Metal Recycling,Elec Motor,Mixed Electric Motors (Elmo)
C&Y Global, Inc. / Pro Metal Recycling,Motors,Mixed Electric Motors (Elmo)
C&Y Global, Inc. / Pro Metal Recycling,Motors w/ gearbox,Mixed Electric Motors (Elmo)
C&Y Global, Inc. / Pro Metal Recycling,Elec motors w/ SS,Mixed Electric Motors (Elmo)
C&Y Global, Inc. / Pro Metal Recycling,EMotorLowGrade_CeilingFanMotors,Electric Motors (Low Grade/Ceiling Fans)
C&Y Global, Inc. / Pro Metal Recycling,EMotorLarge_LessThan1000lbs,Electric Motors (Large <1000 lb)
C&Y Global, Inc. / Pro Metal Recycling,dirty motors,Electric Motors (Mixed / Shred)
C&Y Global, Inc. / Pro Metal Recycling,big motor,Electric Motors (Large <1000 lb)
C&Y Global, Inc. / Pro Metal Recycling,one large motor,Electric Motors (Large <1000 lb)
C&Y Global, Inc. / Pro Metal Recycling,motors with pumps,Electric Motors (Mixed / Pump Attached)
C&Y Global, Inc. / Pro Metal Recycling,Sealed units,Sealed Units / Compressors (Vader)
C&Y Global, Inc. / Pro Metal Recycling,Compressors,Sealed Units / Compressors (Vader)
C&Y Global, Inc. / Pro Metal Recycling,Compressor - sealed units,Sealed Units / Compressors (Vader)
C&Y Global, Inc. / Pro Metal Recycling,Cast compressor,Sealed Units / Compressors (Vader)
C&Y Global, Inc. / Pro Metal Recycling,pumps,Sealed Units / Compressors (Vader)
C&Y Global, Inc. / Pro Metal Recycling,NON FE:Sealed Units,Sealed Units / Compressors (Vader)
C&Y Global, Inc. / Pro Metal Recycling,Transformers,Transformers (Al/Cu)
C&Y Global, Inc. / Pro Metal Recycling,Transformer,Transformers (Al/Cu)
C&Y Global, Inc. / Pro Metal Recycling,Transformer Cu,Transformers (Al/Cu)
